id,date,latitude,longitude,magnitude
20074,2010-05-03,-38.072,-73.454,6.3
20075,2010-05-05,-35.949,-103.058,5.9
20076,2010-05-05,-4.054,101.096,6.5
20077,2010-05-05,-6.245,154.854,5.7
20078,2010-05-06,-18.058,-70.547,6.2
20079,2010-05-06,-55.725,-127.942,5.8
20080,2010-05-07,3.559,127.982,5.6
20081,2010-05-07,44.362,-129.467,5.5
20082,2010-05-08,-8.085,118.259,5.9
20083,2010-05-08,-0.732,122.485,5.7
20084,2010-05-09,3.748,96.018,7.2
20085,2010-05-15,-23.590,-176.646,5.7
20086,2010-05-16,0.511,124.657,5.8
20087,2010-05-16,18.400,-67.070,5.8
20088,2010-05-19,-5.083,-77.541,6
20089,2010-05-19,-54.800,-135.252,6
20090,2010-05-19,-54.843,-135.398,6
20091,2010-05-20,-56.870,-143.132,5.6
20092,2010-05-20,-39.063,-92.159,5.9
20093,2010-05-20,9.247,-84.302,5.9
20094,2010-05-22,-56.236,-139.157,5.7
20095,2010-05-23,-13.928,-74.352,6.1
20096,2010-05-24,-8.087,-71.558,6.5
20097,2010-05-25,-65.425,179.875,5.5
20098,2010-05-25,35.336,-35.924,6.3
20099,2010-05-26,25.773,129.944,6.5
20100,2010-05-27,-13.698,166.643,7.2
20101,2010-05-27,-13.884,166.730,5.6
20102,2010-05-27,-13.658,166.745,6.1
20103,2010-05-28,-14.048,166.606,5.8
20104,2010-05-29,33.165,96.070,5.8
20105,2010-05-31,6.948,124.025,6
20106,2010-05-31,11.132,93.471,6.5
20107,2010-06-01,9.331,-84.206,6
20108,2010-06-01,-36.819,-73.505,5.6
20109,2010-06-01,-17.876,169.103,5.7
20110,2010-06-02,-57.369,-26.446,5.9
20111,2010-06-02,-6.159,149.413,5.9
20112,2010-06-02,-13.731,166.594,5.6
20113,2010-06-03,70.712,-14.384,5.6
20114,2010-06-03,33.335,96.150,5.5
20115,2010-06-05,43.426,146.773,5.5
20116,2010-06-09,-18.597,169.485,6
20117,2010-06-10,7.363,126.905,5.6
20118,2010-06-11,-37.314,51.950,5.8
20119,2010-06-11,26.688,142.503,5.7
20120,2010-06-11,26.712,142.688,5.5
20121,2010-06-12,7.881,91.936,7.5
20122,2010-06-13,37.372,141.625,5.9
20123,2010-06-15,32.705,-115.911,5.72
20124,2010-06-16,-10.260,161.433,5.6
20125,2010-06-16,-2.386,136.635,6.2
20126,2010-06-16,-2.174,136.543,7
20127,2010-06-16,-2.329,136.484,6.6
20128,2010-06-17,-33.168,179.719,6
20129,2010-06-18,44.448,148.689,6.2
20130,2010-06-18,13.197,93.087,5.9
20131,2010-06-20,-36.129,-100.176,5.6
20132,2010-06-22,-19.201,-177.553,5.8
20133,2010-06-24,7.696,91.958,5.5
20134,2010-06-24,-5.514,151.161,6.1
20135,2010-06-26,-10.627,161.447,6.7
20136,2010-06-26,-8.070,108.089,5.9
20137,2010-06-28,-37.910,-75.038,5.6
20138,2010-06-28,30.672,141.593,5.8
20139,2010-06-28,-8.947,160.863,5.8
20140,2010-06-29,-37.836,-73.278,5.5
20141,2010-06-29,48.273,154.276,5.5
20142,2010-06-30,-23.307,179.116,6.4
20143,2010-06-30,16.396,-97.782,6.3
20144,2010-07-01,-5.171,129.385,5.8
20145,2010-07-02,-13.643,166.485,6.3
20146,2010-07-04,-8.469,-80.471,5.7
20147,2010-07-04,39.697,142.369,6.3
20148,2010-07-07,-6.169,154.424,5.9
20149,2010-07-08,-24.007,-179.788,5.8
20150,2010-07-10,14.006,145.026,5.6
20151,2010-07-10,11.143,145.999,6.3
20152,2010-07-10,-7.863,158.709,5.7
20153,2010-07-12,-22.146,-68.216,6.3
20154,2010-07-13,-2.433,138.795,5.7
20155,2010-07-14,-38.067,-73.310,6.6
20156,2010-07-14,51.811,-176.113,5.6
20157,2010-07-14,-38.224,-73.230,5.8
20158,2010-07-17,-24.715,-69.817,5.5
20159,2010-07-17,-15.661,-175.223,5.6
20160,2010-07-18,52.876,-169.848,6.7
20161,2010-07-18,-5.966,150.428,6.9
20162,2010-07-18,-5.931,150.590,7.3
20163,2010-07-18,52.815,-169.719,6
20164,2010-07-19,52.655,-169.333,5.7
20165,2010-07-19,52.717,-169.561,5.5
20166,2010-07-20,-29.031,-13.096,5.8
20167,2010-07-20,-5.902,150.712,6.3
20168,2010-07-20,27.022,53.861,5.8
20169,2010-07-20,-6.015,150.696,5.6
20170,2010-07-20,-22.775,171.759,5.5
20171,2010-07-21,3.039,128.222,6.1
20172,2010-07-22,-15.132,168.162,6.1
20173,2010-07-23,6.718,123.409,7.3
20174,2010-07-23,6.684,123.571,5.5
20175,2010-07-23,6.497,123.480,7.6
20176,2010-07-23,6.545,123.431,5.8
20177,2010-07-23,7.319,123.765,5.8
20178,2010-07-23,6.776,123.259,7.5
20179,2010-07-24,6.218,123.519,6.6
20180,2010-07-25,-15.069,-173.548,5.9
20181,2010-07-25,49.703,154.637,5.6
20182,2010-07-26,-3.832,141.400,5.6
20183,2010-07-26,-24.053,-66.825,5.6
20184,2010-07-27,-7.318,126.393,5.5
20185,2010-07-28,52.667,-169.408,5.6
20186,2010-07-29,6.548,123.222,6.6
20187,2010-07-30,52.498,159.843,6.3
20188,2010-07-30,-61.348,154.209,5.5
20189,2010-07-30,2.094,126.583,5.5
20190,2010-07-30,35.221,59.317,5.5
20191,2010-07-31,-0.763,-16.025,5.5
20192,2010-08-02,7.103,-34.206,5.8
20193,2010-08-03,1.239,126.213,6.3
20194,2010-08-03,-22.562,171.502,5.6
20195,2010-08-04,-26.916,-177.245,6
20196,2010-08-04,-5.486,146.822,6.5
20197,2010-08-04,-21.842,-175.039,5.5
20198,2010-08-04,51.423,-178.649,6.4
20199,2010-08-04,-5.746,150.765,7
20200,2010-08-04,45.980,153.175,6
20201,2010-08-05,-37.443,-73.281,5.9
20202,2010-08-06,-21.763,-179.451,5.5
20203,2010-08-08,51.343,-178.571,5.5
20204,2010-08-10,-17.541,168.069,7.3
20205,2010-08-10,39.406,143.148,5.9
20206,2010-08-10,-14.460,167.345,5.9
20207,2010-08-11,-17.403,167.814,5.9
20208,2010-08-11,-17.988,167.781,5.5
20209,2010-08-12,-17.423,167.798,5.5
20210,2010-08-12,-1.266,-77.306,7.1
20211,2010-08-13,36.877,-32.874,5.5
20212,2010-08-13,12.487,141.474,6.9
20213,2010-08-14,-3.090,139.770,5.6
20214,2010-08-14,12.348,141.487,6.2
20215,2010-08-14,12.412,141.634,5.7
20216,2010-08-14,12.307,141.461,5.6
20217,2010-08-14,12.303,141.566,5.6
20218,2010-08-14,12.273,141.429,6.6
20219,2010-08-15,53.557,160.121,5.5
20220,2010-08-15,-22.043,-179.742,5.5
20221,2010-08-15,-5.692,148.342,6.3
20222,2010-08-16,-17.759,65.647,6.3
20223,2010-08-16,-20.799,-178.826,6.2
20224,2010-08-18,12.234,141.514,6.3
20225,2010-08-19,14.030,-91.121,5.5
20226,2010-08-20,-6.570,154.246,6.1
20227,2010-08-21,2.221,96.717,5.9
20228,2010-08-22,19.441,147.374,5.6
20229,2010-08-22,37.240,19.950,5.5
20230,2010-08-23,12.805,143.558,5.5
20231,2010-08-24,18.795,-107.193,6.2
20232,2010-08-27,35.490,54.470,5.8
20233,2010-08-28,18.720,-107.097,5.5
20234,2010-08-29,-55.800,-26.991,5.5
20235,2010-09-03,-6.133,149.961,5.5
20236,2010-09-03,-13.941,65.930,5.7
20237,2010-09-03,51.451,-175.870,6.5
20238,2010-09-03,-43.522,171.830,7
