YEAR,MONTH,DAY,COUNTRY,LATITUDE,LONGITUDE,DISTANCE_FROM_SOURCE,MAXIMUM_HEIGHT
1650,12,13,JAPAN,35.9,136,,
1651,,,JAPAN,38.035,140.8511,,
1653,7,,PHILIPPINES,13.1,121.5,11,
1657,3,15,CHILE,-36.733,-72.983,12,
1657,7,9,CHILE,-33.033,-71.633,101,
1657,12,,INDONESIA,-3.683,128.187,79,
1659,11,11,INDONESIA,-3.683,128.187,375,1.5
1661,1,8,TAIWAN,22.99,120.16,6,
1661,4,22,ITALY,45.5,12.5,,
1662,10,30,JAPAN,34.8,139,737,
1662,10,30,JAPAN,33.284,131.493,182,1
1662,10,30,JAPAN,33,131,172,
1664,,,JAPAN,27.8,128.2,7,
1666,5,31,JAPAN,34.8833,136.9333,18,
1666,5,31,JAPAN,34.7,136.97,37,
1666,5,31,JAPAN,34.6758,137.004,41,
1666,5,31,JAPAN,34.705,137.005,38,
1667,4,6,CROATIA,42.667,18.117,8,
1667,4,6,ITALY,45.5,12.5,552,
1667,4,6,CROATIA,42.693,17.947,16,
1667,11,30,TURKEY,38.4188,27.12866,3,
1667,,,JAPAN,25,125.5,0,
1668,4,13,USA,42.35,-71.05,0,
1668,4,13,USA,42.567,-70.917,26,
1668,7,25,CHINA,32.45,120.867,380,
1668,7,25,CHINA,35.728,116.496,196,
1668,7,25,CHINA,34.836,119.119,70,
1668,7,25,CHINA,34.311,117.95,125,
1668,7,31,NORTH KOREA,39.767,124.633,229,
1668,7,31,NORTH KOREA,37.8169,126.4331,43,
1670,8,19,CHINA,31.4,121.25,213,
1670,8,19,CHINA,31.73,121.05,196,
1670,8,19,CHINA,31.2947,121.2983,221,
1670,8,19,CHINA,,,,
1670,8,19,CHINA,31.3683,121.4928,205,
1670,9,,JAPAN,34.6,135.4,,
1670,12,17,JAPAN,,,,2
1672,4,14,ITALY,44.06,12.59,14,
1672,4,14,ITALY,45.373,12.344,161,
1672,4,,GREECE,40,26,0,
1672,,,GREECE,36.8933,27.2889,165,
1673,8,12,INDONESIA,0.8,127.38,66,
1674,2,17,INDONESIA,-3.62,128,31,
1674,2,17,INDONESIA,-3.583,128.067,40,100
1674,2,17,INDONESIA,,,,100
1674,2,17,INDONESIA,-3.65,127.967,27,100
1674,2,17,INDONESIA,-3.3,128.05,60,5.5
1674,2,17,INDONESIA,-3.567,128.65,102,2
1674,2,17,INDONESIA,-3.56,127.93,29,
1674,2,17,INDONESIA,-4.533,129.9,254,
1674,2,17,INDONESIA,-3.25,127.72,56,5
1674,2,17,INDONESIA,-3.617,128.25,57,
1674,2,17,INDONESIA,-3.6,128.417,76,2
1674,2,17,INDONESIA,-3.567,128.65,102,2
